sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
373	obj_rel_across_anim	373	187	expected	placeholder	les clients que les cadres aiment sont petits	6
374	obj_rel_across_anim	374	187	unexpected	placeholder	les clients que les cadres aiment est petit	6
591	obj_rel_across_anim	591	296	expected	placeholder	les agriculteurs que les chauffeurs de taxi aiment parlent	8
592	obj_rel_across_anim	592	296	unexpected	placeholder	les agriculteurs que les chauffeurs de taxi aiment parle	8
603	obj_rel_across_anim	603	302	expected	placeholder	les chirurgiens que les chauffeurs de taxi aiment déménagent	8
604	obj_rel_across_anim	604	302	unexpected	placeholder	les chirurgiens que les chauffeurs de taxi aiment déménage	8
1297	obj_rel_across_anim	1297	649	expected	placeholder	les agriculteurs que les parents aiment sont petits	6
1298	obj_rel_across_anim	1298	649	unexpected	placeholder	les agriculteurs que les parents aiment est petit	6
2445	obj_rel_across_anim	2445	1223	expected	placeholder	les sénateurs que les chefs détestent sont petits	6
2446	obj_rel_across_anim	2446	1223	unexpected	placeholder	les sénateurs que les chefs détestent est petit	6
4133	obj_rel_across_anim	4133	2067	expected	placeholder	les professeurs que les parents admirent parlent	6
4134	obj_rel_across_anim	4134	2067	unexpected	placeholder	les professeurs que les parents admirent parle	6
5011	obj_rel_across_anim	5011	2506	expected	placeholder	les officiers que les danseurs évitent sont grands	6
5012	obj_rel_across_anim	5012	2506	unexpected	placeholder	les officiers que les danseurs évitent est grand	6
5743	obj_rel_across_anim	5743	2872	expected	placeholder	les auteurs que le ministre aime parlent	6
5744	obj_rel_across_anim	5744	2872	unexpected	placeholder	les auteurs que le ministre aime parle	6
6605	obj_rel_across_anim	6605	3303	expected	placeholder	les directeurs que le chef aime sont jeunes	6
6606	obj_rel_across_anim	6606	3303	unexpected	placeholder	les directeurs que le chef aime est jeune	6
7553	obj_rel_across_anim	7553	3777	expected	placeholder	les consultants que l adjoint déteste sont vieux	6
7554	obj_rel_across_anim	7554	3777	unexpected	placeholder	les consultants que l adjoint déteste est vieux	6
7719	obj_rel_across_anim	7719	3860	expected	placeholder	les directeurs que le danseur déteste retournent	6
7720	obj_rel_across_anim	7720	3860	unexpected	placeholder	les directeurs que le danseur déteste retourne	6
8657	obj_rel_across_anim	8657	4329	expected	placeholder	les pilotes que le ministre admire retournent	6
8658	obj_rel_across_anim	8658	4329	unexpected	placeholder	les pilotes que le ministre admire retourne	6
8847	obj_rel_across_anim	8847	4424	expected	placeholder	les directeurs que l adjoint admire sont grands	6
8848	obj_rel_across_anim	8848	4424	unexpected	placeholder	les directeurs que l adjoint admire est grand	6
8951	obj_rel_across_anim	8951	4476	expected	placeholder	les consultants que l adjoint admire retournent	6
8952	obj_rel_across_anim	8952	4476	unexpected	placeholder	les consultants que l adjoint admire retourne	6
9387	obj_rel_across_anim	9387	4694	expected	placeholder	les auteurs que le chef admire sont vieux	6
9388	obj_rel_across_anim	9388	4694	unexpected	placeholder	les auteurs que le chef admire est vieux	6
10197	obj_rel_across_anim	10197	5099	expected	placeholder	les pilotes que le cadre évite retournent	6
