sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
1	obj_rel_across_anim	1	1	expected	placeholder	авторы  которых агенты любят  говорят	5
2	obj_rel_across_anim	2	1	unexpected	placeholder	авторы  которых агенты любят  говорит	5
3	obj_rel_across_anim	3	2	expected	placeholder	авторы  которых агенты любят  ждали	5
4	obj_rel_across_anim	4	2	unexpected	placeholder	авторы  которых агенты любят  ждал	5
5	obj_rel_across_anim	5	3	expected	placeholder	авторы  которых агенты любят  читают	5
6	obj_rel_across_anim	6	3	unexpected	placeholder	авторы  которых агенты любят  читает	5
7	obj_rel_across_anim	7	4	expected	placeholder	авторы  которых агенты любят  старые	5
8	obj_rel_across_anim	8	4	unexpected	placeholder	авторы  которых агенты любят  старый	5
9	obj_rel_across_anim	9	5	expected	placeholder	авторы  которых агенты любят  маленькие	5
10	obj_rel_across_anim	10	5	unexpected	placeholder	авторы  которых агенты любят  маленький	5
11	obj_rel_across_anim	11	6	expected	placeholder	авторы  которых агенты любят  молодые	5
12	obj_rel_across_anim	12	6	unexpected	placeholder	авторы  которых агенты любят  молодой	5
13	obj_rel_across_anim	13	7	expected	placeholder	авторы  которых агенты любят  большие	5
14	obj_rel_across_anim	14	7	unexpected	placeholder	авторы  которых агенты любят  большой	5
15	obj_rel_across_anim	15	8	expected	placeholder	режиссёры  которых агенты любят  говорят	5
16	obj_rel_across_anim	16	8	unexpected	placeholder	режиссёры  которых агенты любят  говорит	5
17	obj_rel_across_anim	17	9	expected	placeholder	режиссёры  которых агенты любят  ждали	5
18	obj_rel_across_anim	18	9	unexpected	placeholder	режиссёры  которых агенты любят  ждал	5
19	obj_rel_across_anim	19	10	expected	placeholder	режиссёры  которых агенты любят  читают	5
20	obj_rel_across_anim	20	10	unexpected	placeholder	режиссёры  которых агенты любят  читает	5
21	obj_rel_across_anim	21	11	expected	placeholder	режиссёры  которых агенты любят  старые	5
22	obj_rel_across_anim	22	11	unexpected	placeholder	режиссёры  которых агенты любят  старый	5
23	obj_rel_across_anim	23	12	expected	placeholder	режиссёры  которых агенты любят  маленькие	5
24	obj_rel_across_anim	24	12	unexpected	placeholder	режиссёры  которых агенты любят  маленький	5
25	obj_rel_across_anim	25	13	expected	placeholder	режиссёры  которых агенты любят  молодые	5
26	obj_rel_across_anim	26	13	unexpected	placeholder	режиссёры  которых агенты любят  молодой	5
27	obj_rel_across_anim	27	14	expected	placeholder	режиссёры  которых агенты любят  большие	5
28	obj_rel_across_anim	28	14	unexpected	placeholder	режиссёры  которых агенты любят  большой	5
29	obj_rel_across_anim	29	15	expected	placeholder	фермеры  которых агенты любят  говорят	5
30	obj_rel_across_anim	30	15	unexpected	placeholder	фермеры  которых агенты любят  говорит	5
31	obj_rel_across_anim	31	16	expected	placeholder	фермеры  которых агенты любят  ждали	5
32	obj_rel_across_anim	32	16	unexpected	placeholder	фермеры  которых агенты любят  ждал	5
33	obj_rel_across_anim	33	17	expected	placeholder	фермеры  которых агенты любят  читают	5
34	obj_rel_across_anim	34	17	unexpected	placeholder	фермеры  которых агенты любят  читает	5
35	obj_rel_across_anim	35	18	expected	placeholder	фермеры  которых агенты любят  старые	5
36	obj_rel_across_anim	36	18	unexpected	placeholder	фермеры  которых агенты любят  старый	5
37	obj_rel_across_anim	37	19	expected	placeholder	фермеры  которых агенты любят  маленькие	5
38	obj_rel_across_anim	38	19	unexpected	placeholder	фермеры  которых агенты любят  маленький	5
39	obj_rel_across_anim	39	20	expected	placeholder	фермеры  которых агенты любят  молодые	5
40	obj_rel_across_anim	40	20	unexpected	placeholder	фермеры  которых агенты любят  молодой	5
41	obj_rel_across_anim	41	21	expected	placeholder	фермеры  которых агенты любят  большие	5
42	obj_rel_across_anim	42	21	unexpected	placeholder	фермеры  которых агенты любят  большой	5
43	obj_rel_across_anim	43	22	expected	placeholder	врачи  которых агенты любят  говорят	5
44	obj_rel_across_anim	44	22	unexpected	placeholder	врачи  которых агенты любят  говорит	5
45	obj_rel_across_anim	45	23	expected	placeholder	врачи  которых агенты любят  ждали	5
46	obj_rel_across_anim	46	23	unexpected	placeholder	врачи  которых агенты любят  ждал	5
47	obj_rel_across_anim	47	24	expected	placeholder	врачи  которых агенты любят  читают	5
48	obj_rel_across_anim	48	24	unexpected	placeholder	врачи  которых агенты любят  читает	5
49	obj_rel_across_anim	49	25	expected	placeholder	врачи  которых агенты любят  старые	5
50	obj_rel_across_anim	50	25	unexpected	placeholder	врачи  которых агенты любят  старый	5
51	obj_rel_across_anim	51	26	expected	placeholder	врачи  которых агенты любят  маленькие	5
52	obj_rel_across_anim	52	26	unexpected	placeholder	врачи  которых агенты любят  маленький	5
53	obj_rel_across_anim	53	27	expected	placeholder	врачи  которых агенты любят  молодые	5
54	obj_rel_across_anim	54	27	unexpected	placeholder	врачи  которых агенты любят  молодой	5
55	obj_rel_across_anim	55	28	expected	placeholder	врачи  которых агенты любят  большие	5
56	obj_rel_across_anim	56	28	unexpected	placeholder	врачи  которых агенты любят  большой	5
57	obj_rel_across_anim	57	29	expected	placeholder	сенаторы  которых агенты любят  говорят	5
58	obj_rel_across_anim	58	29	unexpected	placeholder	сенаторы  которых агенты любят  говорит	5
59	obj_rel_across_anim	59	30	expected	placeholder	сенаторы  которых агенты любят  ждали	5
60	obj_rel_across_anim	60	30	unexpected	placeholder	сенаторы  которых агенты любят  ждал	5
61	obj_rel_across_anim	61	31	expected	placeholder	сенаторы  которых агенты любят  читают	5
62	obj_rel_across_anim	62	31	unexpected	placeholder	сенаторы  которых агенты любят  читает	5
63	obj_rel_across_anim	63	32	expected	placeholder	сенаторы  которых агенты любят  старые	5
64	obj_rel_across_anim	64	32	unexpected	placeholder	сенаторы  которых агенты любят  старый	5
65	obj_rel_across_anim	65	33	expected	placeholder	сенаторы  которых агенты любят  маленькие	5
66	obj_rel_across_anim	66	33	unexpected	placeholder	сенаторы  которых агенты любят  маленький	5
67	obj_rel_across_anim	67	34	expected	placeholder	сенаторы  которых агенты любят  молодые	5
68	obj_rel_across_anim	68	34	unexpected	placeholder	сенаторы  которых агенты любят  молодой	5
69	obj_rel_across_anim	69	35	expected	placeholder	сенаторы  которых агенты любят  большие	5
70	obj_rel_across_anim	70	35	unexpected	placeholder	сенаторы  которых агенты любят  большой	5
71	obj_rel_across_anim	71	36	expected	placeholder	профессора  которых агенты любят  говорят	5
72	obj_rel_across_anim	72	36	unexpected	placeholder	профессора  которых агенты любят  говорит	5
73	obj_rel_across_anim	73	37	expected	placeholder	профессора  которых агенты любят  ждали	5
74	obj_rel_across_anim	74	37	unexpected	placeholder	профессора  которых агенты любят  ждал	5
75	obj_rel_across_anim	75	38	expected	placeholder	профессора  которых агенты любят  читают	5
76	obj_rel_across_anim	76	38	unexpected	placeholder	профессора  которых агенты любят  читает	5
77	obj_rel_across_anim	77	39	expected	placeholder	профессора  которых агенты любят  старые	5
78	obj_rel_across_anim	78	39	unexpected	placeholder	профессора  которых агенты любят  старый	5
79	obj_rel_across_anim	79	40	expected	placeholder	профессора  которых агенты любят  маленькие	5
80	obj_rel_across_anim	80	40	unexpected	placeholder	профессора  которых агенты любят  маленький	5
81	obj_rel_across_anim	81	41	expected	placeholder	профессора  которых агенты любят  молодые	5
82	obj_rel_across_anim	82	41	unexpected	placeholder	профессора  которых агенты любят  молодой	5
83	obj_rel_across_anim	83	42	expected	placeholder	профессора  которых агенты любят  большие	5
84	obj_rel_across_anim	84	42	unexpected	placeholder	профессора  которых агенты любят  большой	5
85	obj_rel_across_anim	85	43	expected	placeholder	клиенты  которых агенты любят  говорят	5
86	obj_rel_across_anim	86	43	unexpected	placeholder	клиенты  которых агенты любят  говорит	5
87	obj_rel_across_anim	87	44	expected	placeholder	клиенты  которых агенты любят  ждали	5
88	obj_rel_across_anim	88	44	unexpected	placeholder	клиенты  которых агенты любят  ждал	5
89	obj_rel_across_anim	89	45	expected	placeholder	клиенты  которых агенты любят  читают	5
90	obj_rel_across_anim	90	45	unexpected	placeholder	клиенты  которых агенты любят  читает	5
91	obj_rel_across_anim	91	46	expected	placeholder	клиенты  которых агенты любят  старые	5
92	obj_rel_across_anim	92	46	unexpected	placeholder	клиенты  которых агенты любят  старый	5
93	obj_rel_across_anim	93	47	expected	placeholder	клиенты  которых агенты любят  маленькие	5
94	obj_rel_across_anim	94	47	unexpected	placeholder	клиенты  которых агенты любят  маленький	5
95	obj_rel_across_anim	95	48	expected	placeholder	клиенты  которых агенты любят  молодые	5
96	obj_rel_across_anim	96	48	unexpected	placeholder	клиенты  которых агенты любят  молодой	5
97	obj_rel_across_anim	97	49	expected	placeholder	клиенты  которых агенты любят  большие	5
98	obj_rel_across_anim	98	49	unexpected	placeholder	клиенты  которых агенты любят  большой	5
99	obj_rel_across_anim	99	50	expected	placeholder	офицеры  которых агенты любят  говорят	5
100	obj_rel_across_anim	100	50	unexpected	placeholder	офицеры  которых агенты любят  говорит	5
101	obj_rel_across_anim	101	51	expected	placeholder	офицеры  которых агенты любят  ждали	5
102	obj_rel_across_anim	102	51	unexpected	placeholder	офицеры  которых агенты любят  ждал	5
103	obj_rel_across_anim	103	52	expected	placeholder	офицеры  которых агенты любят  читают	5
104	obj_rel_across_anim	104	52	unexpected	placeholder	офицеры  которых агенты любят  читает	5
105	obj_rel_across_anim	105	53	expected	placeholder	офицеры  которых агенты любят  старые	5
106	obj_rel_across_anim	106	53	unexpected	placeholder	офицеры  которых агенты любят  старый	5
107	obj_rel_across_anim	107	54	expected	placeholder	офицеры  которых агенты любят  маленькие	5
108	obj_rel_across_anim	108	54	unexpected	placeholder	офицеры  которых агенты любят  маленький	5
109	obj_rel_across_anim	109	55	expected	placeholder	офицеры  которых агенты любят  молодые	5
110	obj_rel_across_anim	110	55	unexpected	placeholder	офицеры  которых агенты любят  молодой	5
111	obj_rel_across_anim	111	56	expected	placeholder	офицеры  которых агенты любят  большие	5
112	obj_rel_across_anim	112	56	unexpected	placeholder	офицеры  которых агенты любят  большой	5
113	obj_rel_across_anim	113	57	expected	placeholder	пилоты  которых агенты любят  говорят	5
114	obj_rel_across_anim	114	57	unexpected	placeholder	пилоты  которых агенты любят  говорит	5
115	obj_rel_across_anim	115	58	expected	placeholder	пилоты  которых агенты любят  ждали	5
116	obj_rel_across_anim	116	58	unexpected	placeholder	пилоты  которых агенты любят  ждал	5
117	obj_rel_across_anim	117	59	expected	placeholder	пилоты  которых агенты любят  читают	5
