sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
1015	obj_rel_across_anim	1015	508	expected	placeholder	the author that the executives like is tall	6
1016	obj_rel_across_anim	1016	508	unexpected	placeholder	the author that the executives like are tall	6
1999	obj_rel_across_anim	1999	1000	expected	placeholder	the surgeon that the ministers hate is young	6
2000	obj_rel_across_anim	2000	1000	unexpected	placeholder	the surgeon that the ministers hate are young	6
6905	obj_rel_across_anim	6905	3453	expected	placeholder	the pilots that the skater admires swim	6
6906	obj_rel_across_anim	6906	3453	unexpected	placeholder	the pilots that the skater admires swims	6
9853	obj_rel_across_anim	9853	4927	expected	placeholder	the officers that the minister loves are young	6
9854	obj_rel_across_anim	9854	4927	unexpected	placeholder	the officers that the minister loves is young	6
11511	obj_rel_across_anim	11511	5756	expected	placeholder	the consultants that the minister hates swim	6
11512	obj_rel_across_anim	11512	5756	unexpected	placeholder	the consultants that the minister hates swims	6
25415	obj_rel_within_inanim	25415	12708	expected	placeholder	the picture that the skaters love is new	5
25416	obj_rel_within_inanim	25416	12708	unexpected	placeholder	the picture that the skaters loves is new	5
36777	obj_rel_within_inanim	36777	18389	expected	placeholder	the novels that the taxi drivers hate interest people	6
36778	obj_rel_within_inanim	36778	18389	unexpected	placeholder	the novels that the taxi drivers hates interest people	6
52991	reflexives_across	52991	26496	expected	placeholder	the senators that the executive likes embarrassed themselves	7
52992	reflexives_across	52992	26496	unexpected	placeholder	the senators that the executive likes embarrassed herself	7
64775	reflexives_across	64775	32388	expected	placeholder	the consultant that the skaters admire congratulated herself	7
64776	reflexives_across	64776	32388	unexpected	placeholder	the consultant that the skaters admire congratulated themselves	7
100905	obj_rel_no_comp_within_inanim	100905	50453	expected	placeholder	the paintings the chefs love are popular	4
100906	obj_rel_no_comp_within_inanim	100906	50453	unexpected	placeholder	the paintings the chefs loves are popular	4
110505	npi_across_anim	110505	55253	expected	placeholder	few authors that the chefs like have ever been popular	0
110506	npi_across_anim	110506	55253	unexpected	placeholder	the authors that few chefs like have ever been popular	0
118897	prep_anim	118897	59449	expected	placeholder	the pilots in front of the taxi driver are short	8
118898	prep_anim	118898	59449	unexpected	placeholder	the pilots in front of the taxi driver is short	8
