sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
111	obj_rel_across_anim	111	56	expected	placeholder	офицеры  которых агенты любят  большие	4
112	obj_rel_across_anim	112	56	unexpected	placeholder	офицеры  которых агенты любят  большой	4
1333	obj_rel_across_anim	1333	667	expected	placeholder	профессора  которых отцы любят  ждали	4
1334	obj_rel_across_anim	1334	667	unexpected	placeholder	профессора  которых отцы любят  ждал	4
2217	obj_rel_across_anim	2217	1109	expected	placeholder	пилоты  которых танцоры хотят  читают	4
2218	obj_rel_across_anim	2218	1109	unexpected	placeholder	пилоты  которых танцоры хотят  читает	4
3489	obj_rel_across_anim	3489	1745	expected	placeholder	ученики  которых солдаты понимают  ждали	4
3490	obj_rel_across_anim	3490	1745	unexpected	placeholder	ученики  которых солдаты понимают  ждал	4
4545	obj_rel_across_anim	4545	2273	expected	placeholder	сенаторы  которых рабочие ищут  маленькие	4
4546	obj_rel_across_anim	4546	2273	unexpected	placeholder	сенаторы  которых рабочие ищут  маленький	4
4669	obj_rel_across_anim	4669	2335	expected	placeholder	врачи  которых помощники ищут  старые	4
4670	obj_rel_across_anim	4670	2335	unexpected	placeholder	врачи  которых помощники ищут  старый	4
6351	obj_rel_across_anim	6351	3176	expected	placeholder	врачи  которых танцор любит  маленькие	4
6352	obj_rel_across_anim	6352	3176	unexpected	placeholder	врачи  которых танцор любит  маленький	4
6855	obj_rel_across_anim	6855	3428	expected	placeholder	ученики  которых художник любит  маленькие	4
6856	obj_rel_across_anim	6856	3428	unexpected	placeholder	ученики  которых художник любит  маленький	4
7481	obj_rel_across_anim	7481	3741	expected	placeholder	сенаторы  которых помощник хочет  читают	4
7482	obj_rel_across_anim	7482	3741	unexpected	placeholder	сенаторы  которых помощник хочет  читает	4
7757	obj_rel_across_anim	7757	3879	expected	placeholder	сенаторы  которых танцор хочет  говорят	4
7758	obj_rel_across_anim	7758	3879	unexpected	placeholder	сенаторы  которых танцор хочет  говорит	4
8565	obj_rel_across_anim	8565	4283	expected	placeholder	режиссёры  которых министр понимает  молодые	4
8566	obj_rel_across_anim	8566	4283	unexpected	placeholder	режиссёры  которых министр понимает  молодой	4
8891	obj_rel_across_anim	8891	4446	expected	placeholder	профессора  которых помощник понимает  говорят	4
8892	obj_rel_across_anim	8892	4446	unexpected	placeholder	профессора  которых помощник понимает  говорит	4
9877	obj_rel_across_anim	9877	4939	expected	placeholder	профессора  которых агент ищет  старые	4
9878	obj_rel_across_anim	9878	4939	unexpected	placeholder	профессора  которых агент ищет  старый	4
10251	obj_rel_across_anim	10251	5126	expected	placeholder	фермеры  которых помощник ищет  ждали	4
10252	obj_rel_across_anim	10252	5126	unexpected	placeholder	фермеры  которых помощник ищет  ждал	4
11237	obj_rel_across_anim	11237	5619	expected	placeholder	фермер  которого агенты любят  маленький	4
11238	obj_rel_across_anim	11238	5619	unexpected	placeholder	фермер  которого агенты любят  маленькие	4
11435	obj_rel_across_anim	11435	5718	expected	placeholder	клиент  которого министры любят  молодой	4
11436	obj_rel_across_anim	11436	5718	unexpected	placeholder	клиент  которого министры любят  молодые	4
11587	obj_rel_across_anim	11587	5794	expected	placeholder	офицер  которого рабочие любят  маленький	4
11588	obj_rel_across_anim	11588	5794	unexpected	placeholder	офицер  которого рабочие любят  маленькие	4
11839	obj_rel_across_anim	11839	5920	expected	placeholder	профессор  которого солдаты любят  маленький	4
11840	obj_rel_across_anim	11840	5920	unexpected	placeholder	профессор  которого солдаты любят  маленькие	4
12695	obj_rel_across_anim	12695	6348	expected	placeholder	клиент  которого агенты хотят  молодой	4
12696	obj_rel_across_anim	12696	6348	unexpected	placeholder	клиент  которого агенты хотят  молодые	4
13019	obj_rel_across_anim	13019	6510	expected	placeholder	ученик  которого рабочие хотят  большой	4
13020	obj_rel_across_anim	13020	6510	unexpected	placeholder	ученик  которого рабочие хотят  большие	4
13693	obj_rel_across_anim	13693	6847	expected	placeholder	пилот  которого лидеры хотят  говорит	4
