sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
1	simple_reflexives	1	1	expected	placeholder	the authors hurt themselves	4
2	simple_reflexives	2	1	unexpected	placeholder	the authors hurt himself	4
3	simple_reflexives	3	2	expected	placeholder	the authors hurt themselves	4
4	simple_reflexives	4	2	unexpected	placeholder	the authors hurt herself	4
5	simple_reflexives	5	3	expected	placeholder	the authors injured themselves	4
6	simple_reflexives	6	3	unexpected	placeholder	the authors injured himself	4
7	simple_reflexives	7	4	expected	placeholder	the authors injured themselves	4
8	simple_reflexives	8	4	unexpected	placeholder	the authors injured herself	4
9	simple_reflexives	9	5	expected	placeholder	the authors congratulated themselves	4
10	simple_reflexives	10	5	unexpected	placeholder	the authors congratulated himself	4
11	simple_reflexives	11	6	expected	placeholder	the authors congratulated themselves	4
12	simple_reflexives	12	6	unexpected	placeholder	the authors congratulated herself	4
13	simple_reflexives	13	7	expected	placeholder	the authors embarrassed themselves	4
14	simple_reflexives	14	7	unexpected	placeholder	the authors embarrassed himself	4
15	simple_reflexives	15	8	expected	placeholder	the authors embarrassed themselves	4
16	simple_reflexives	16	8	unexpected	placeholder	the authors embarrassed herself	4
17	simple_reflexives	17	9	expected	placeholder	the authors disguised themselves	4
18	simple_reflexives	18	9	unexpected	placeholder	the authors disguised himself	4
19	simple_reflexives	19	10	expected	placeholder	the authors disguised themselves	4
20	simple_reflexives	20	10	unexpected	placeholder	the authors disguised herself	4
21	simple_reflexives	21	11	expected	placeholder	the authors hated themselves	4
22	simple_reflexives	22	11	unexpected	placeholder	the authors hated himself	4
23	simple_reflexives	23	12	expected	placeholder	the authors hated themselves	4
24	simple_reflexives	24	12	unexpected	placeholder	the authors hated herself	4
25	simple_reflexives	25	13	expected	placeholder	the authors doubted themselves	4
26	simple_reflexives	26	13	unexpected	placeholder	the authors doubted himself	4
27	simple_reflexives	27	14	expected	placeholder	the authors doubted themselves	4
28	simple_reflexives	28	14	unexpected	placeholder	the authors doubted herself	4
29	simple_reflexives	29	15	expected	placeholder	the pilots hurt themselves	4
30	simple_reflexives	30	15	unexpected	placeholder	the pilots hurt himself	4
