sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
825	obj_rel_across_anim	825	413	expected	placeholder	ה טייס ש ה רקדן אוהב צוחק	6
826	obj_rel_across_anim	826	413	unexpected	placeholder	ה טייס ש ה רקדן אוהב צוחקים	6
847	obj_rel_across_anim	847	424	expected	placeholder	ה מלצר ש ה בנאי אוהב ישן	6
848	obj_rel_across_anim	848	424	unexpected	placeholder	ה מלצר ש ה בנאי אוהב ישנים	6
1527	obj_rel_across_anim	1527	764	expected	placeholder	ה יועץ ש ה שומר שונא רוקד	6
1528	obj_rel_across_anim	1528	764	unexpected	placeholder	ה יועץ ש ה שומר שונא רוקדים	6
1841	obj_rel_across_anim	1841	921	expected	placeholder	ה מנהל ש ה זמר שונא ישן	6
1842	obj_rel_across_anim	1842	921	unexpected	placeholder	ה מנהל ש ה זמר שונא ישנים	6
2947	obj_rel_across_anim	2947	1474	expected	placeholder	ה מלצר ש ה שר מכיר ישן	6
2948	obj_rel_across_anim	2948	1474	unexpected	placeholder	ה מלצר ש ה שר מכיר ישנים	6
2965	obj_rel_across_anim	2965	1483	expected	placeholder	ה מנהל ש ה שר מכיר חי	6
2966	obj_rel_across_anim	2966	1483	unexpected	placeholder	ה מנהל ש ה שר מכיר חיים	6
3431	obj_rel_across_anim	3431	1716	expected	placeholder	ה נהג ש ה נהג מכיר רוקד	6
3432	obj_rel_across_anim	3432	1716	unexpected	placeholder	ה נהג ש ה נהג מכיר רוקדים	6
4801	obj_rel_across_anim	4801	2401	expected	placeholder	ה חקלאי ש ה נהג מעריץ צוחק	6
4802	obj_rel_across_anim	4802	2401	unexpected	placeholder	ה חקלאי ש ה נהג מעריץ צוחקים	6
5781	obj_rel_across_anim	5781	2891	expected	placeholder	ה חקלאי ש ה שרים אוהבים צוחק	6
5782	obj_rel_across_anim	5782	2891	unexpected	placeholder	ה חקלאי ש ה שרים אוהבים צוחקים	6
6051	obj_rel_across_anim	6051	3026	expected	placeholder	ה חקלאי ש ה זמרים אוהבים נוסע	6
6052	obj_rel_across_anim	6052	3026	unexpected	placeholder	ה חקלאי ש ה זמרים אוהבים נוסעים	6
9389	obj_rel_across_anim	9389	4695	expected	placeholder	ה מלצר ש ה מהנדסים מכירים שוחה	6
9390	obj_rel_across_anim	9390	4695	unexpected	placeholder	ה מלצר ש ה מהנדסים מכירים שוחים	6
9429	obj_rel_across_anim	9429	4715	expected	placeholder	ה רופא ש ה מהנדסים מכירים ישן	6
9430	obj_rel_across_anim	9430	4715	unexpected	placeholder	ה רופא ש ה מהנדסים מכירים ישנים	6
9461	obj_rel_across_anim	9461	4731	expected	placeholder	ה נהג ש ה מהנדסים מכירים חי	6
