sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
1	obj_rel_across_anim	1	1	expected	placeholder	die Schriftsteller  die die Wächter mögen  schwimmen	7
2	obj_rel_across_anim	2	1	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  schwimmt	7
3	obj_rel_across_anim	3	2	expected	placeholder	die Schriftsteller  die die Wächter mögen  lachen	7
4	obj_rel_across_anim	4	2	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  lacht	7
5	obj_rel_across_anim	5	3	expected	placeholder	die Schriftsteller  die die Wächter mögen  sprechen	7
6	obj_rel_across_anim	6	3	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  spricht	7
7	obj_rel_across_anim	7	4	expected	placeholder	die Schriftsteller  die die Wächter mögen  sind alt	8
8	obj_rel_across_anim	8	4	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  ist alt	8
9	obj_rel_across_anim	9	5	expected	placeholder	die Schriftsteller  die die Wächter mögen  sind klein	8
10	obj_rel_across_anim	10	5	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  ist klein	8
11	obj_rel_across_anim	11	6	expected	placeholder	die Schriftsteller  die die Wächter mögen  sind jung	8
12	obj_rel_across_anim	12	6	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  ist jung	8
13	obj_rel_across_anim	13	7	expected	placeholder	die Schriftsteller  die die Wächter mögen  sind groß	8
14	obj_rel_across_anim	14	7	unexpected	placeholder	die Schriftsteller  die die Wächter mögen  ist groß	8
15	obj_rel_across_anim	15	8	expected	placeholder	die Direktoren  die die Wächter mögen  schwimmen	7
16	obj_rel_across_anim	16	8	unexpected	placeholder	die Direktoren  die die Wächter mögen  schwimmt	7
17	obj_rel_across_anim	17	9	expected	placeholder	die Direktoren  die die Wächter mögen  lachen	7
18	obj_rel_across_anim	18	9	unexpected	placeholder	die Direktoren  die die Wächter mögen  lacht	7
19	obj_rel_across_anim	19	10	expected	placeholder	die Direktoren  die die Wächter mögen  sprechen	7
20	obj_rel_across_anim	20	10	unexpected	placeholder	die Direktoren  die die Wächter mögen  spricht	7
21	obj_rel_across_anim	21	11	expected	placeholder	die Direktoren  die die Wächter mögen  sind alt	8
22	obj_rel_across_anim	22	11	unexpected	placeholder	die Direktoren  die die Wächter mögen  ist alt	8
23	obj_rel_across_anim	23	12	expected	placeholder	die Direktoren  die die Wächter mögen  sind klein	8
24	obj_rel_across_anim	24	12	unexpected	placeholder	die Direktoren  die die Wächter mögen  ist klein	8
25	obj_rel_across_anim	25	13	expected	placeholder	die Direktoren  die die Wächter mögen  sind jung	8
26	obj_rel_across_anim	26	13	unexpected	placeholder	die Direktoren  die die Wächter mögen  ist jung	8
27	obj_rel_across_anim	27	14	expected	placeholder	die Direktoren  die die Wächter mögen  sind groß	8
28	obj_rel_across_anim	28	14	unexpected	placeholder	die Direktoren  die die Wächter mögen  ist groß	8
29	obj_rel_across_anim	29	15	expected	placeholder	die Bauern  die die Wächter mögen  schwimmen	7
30	obj_rel_across_anim	30	15	unexpected	placeholder	die Bauern  die die Wächter mögen  schwimmt	7
31	obj_rel_across_anim	31	16	expected	placeholder	die Bauern  die die Wächter mögen  lachen	7
32	obj_rel_across_anim	32	16	unexpected	placeholder	die Bauern  die die Wächter mögen  lacht	7
33	obj_rel_across_anim	33	17	expected	placeholder	die Bauern  die die Wächter mögen  sprechen	7
34	obj_rel_across_anim	34	17	unexpected	placeholder	die Bauern  die die Wächter mögen  spricht	7
35	obj_rel_across_anim	35	18	expected	placeholder	die Bauern  die die Wächter mögen  sind alt	8
36	obj_rel_across_anim	36	18	unexpected	placeholder	die Bauern  die die Wächter mögen  ist alt	8
37	obj_rel_across_anim	37	19	expected	placeholder	die Bauern  die die Wächter mögen  sind klein	8
38	obj_rel_across_anim	38	19	unexpected	placeholder	die Bauern  die die Wächter mögen  ist klein	8
39	obj_rel_across_anim	39	20	expected	placeholder	die Bauern  die die Wächter mögen  sind jung	8
40	obj_rel_across_anim	40	20	unexpected	placeholder	die Bauern  die die Wächter mögen  ist jung	8
41	obj_rel_across_anim	41	21	expected	placeholder	die Bauern  die die Wächter mögen  sind groß	8
42	obj_rel_across_anim	42	21	unexpected	placeholder	die Bauern  die die Wächter mögen  ist groß	8
43	obj_rel_across_anim	43	22	expected	placeholder	die Chirurgen  die die Wächter mögen  schwimmen	7
44	obj_rel_across_anim	44	22	unexpected	placeholder	die Chirurgen  die die Wächter mögen  schwimmt	7
45	obj_rel_across_anim	45	23	expected	placeholder	die Chirurgen  die die Wächter mögen  lachen	7
46	obj_rel_across_anim	46	23	unexpected	placeholder	die Chirurgen  die die Wächter mögen  lacht	7
47	obj_rel_across_anim	47	24	expected	placeholder	die Chirurgen  die die Wächter mögen  sprechen	7
48	obj_rel_across_anim	48	24	unexpected	placeholder	die Chirurgen  die die Wächter mögen  spricht	7
49	obj_rel_across_anim	49	25	expected	placeholder	die Chirurgen  die die Wächter mögen  sind alt	8
50	obj_rel_across_anim	50	25	unexpected	placeholder	die Chirurgen  die die Wächter mögen  ist alt	8
51	obj_rel_across_anim	51	26	expected	placeholder	die Chirurgen  die die Wächter mögen  sind klein	8
52	obj_rel_across_anim	52	26	unexpected	placeholder	die Chirurgen  die die Wächter mögen  ist klein	8
53	obj_rel_across_anim	53	27	expected	placeholder	die Chirurgen  die die Wächter mögen  sind jung	8
54	obj_rel_across_anim	54	27	unexpected	placeholder	die Chirurgen  die die Wächter mögen  ist jung	8
55	obj_rel_across_anim	55	28	expected	placeholder	die Chirurgen  die die Wächter mögen  sind groß	8
56	obj_rel_across_anim	56	28	unexpected	placeholder	die Chirurgen  die die Wächter mögen  ist groß	8
57	obj_rel_across_anim	57	29	expected	placeholder	die Senatoren  die die Wächter mögen  schwimmen	7
58	obj_rel_across_anim	58	29	unexpected	placeholder	die Senatoren  die die Wächter mögen  schwimmt	7
59	obj_rel_across_anim	59	30	expected	placeholder	die Senatoren  die die Wächter mögen  lachen	7
60	obj_rel_across_anim	60	30	unexpected	placeholder	die Senatoren  die die Wächter mögen  lacht	7
61	obj_rel_across_anim	61	31	expected	placeholder	die Senatoren  die die Wächter mögen  sprechen	7
62	obj_rel_across_anim	62	31	unexpected	placeholder	die Senatoren  die die Wächter mögen  spricht	7
63	obj_rel_across_anim	63	32	expected	placeholder	die Senatoren  die die Wächter mögen  sind alt	8
64	obj_rel_across_anim	64	32	unexpected	placeholder	die Senatoren  die die Wächter mögen  ist alt	8
65	obj_rel_across_anim	65	33	expected	placeholder	die Senatoren  die die Wächter mögen  sind klein	8
66	obj_rel_across_anim	66	33	unexpected	placeholder	die Senatoren  die die Wächter mögen  ist klein	8
67	obj_rel_across_anim	67	34	expected	placeholder	die Senatoren  die die Wächter mögen  sind jung	8
68	obj_rel_across_anim	68	34	unexpected	placeholder	die Senatoren  die die Wächter mögen  ist jung	8
69	obj_rel_across_anim	69	35	expected	placeholder	die Senatoren  die die Wächter mögen  sind groß	8
70	obj_rel_across_anim	70	35	unexpected	placeholder	die Senatoren  die die Wächter mögen  ist groß	8
71	obj_rel_across_anim	71	36	expected	placeholder	die Lehrer  die die Wächter mögen  schwimmen	7
72	obj_rel_across_anim	72	36	unexpected	placeholder	die Lehrer  die die Wächter mögen  schwimmt	7
73	obj_rel_across_anim	73	37	expected	placeholder	die Lehrer  die die Wächter mögen  lachen	7
74	obj_rel_across_anim	74	37	unexpected	placeholder	die Lehrer  die die Wächter mögen  lacht	7
75	obj_rel_across_anim	75	38	expected	placeholder	die Lehrer  die die Wächter mögen  sprechen	7
76	obj_rel_across_anim	76	38	unexpected	placeholder	die Lehrer  die die Wächter mögen  spricht	7
77	obj_rel_across_anim	77	39	expected	placeholder	die Lehrer  die die Wächter mögen  sind alt	8
78	obj_rel_across_anim	78	39	unexpected	placeholder	die Lehrer  die die Wächter mögen  ist alt	8
79	obj_rel_across_anim	79	40	expected	placeholder	die Lehrer  die die Wächter mögen  sind klein	8
80	obj_rel_across_anim	80	40	unexpected	placeholder	die Lehrer  die die Wächter mögen  ist klein	8
81	obj_rel_across_anim	81	41	expected	placeholder	die Lehrer  die die Wächter mögen  sind jung	8
82	obj_rel_across_anim	82	41	unexpected	placeholder	die Lehrer  die die Wächter mögen  ist jung	8
83	obj_rel_across_anim	83	42	expected	placeholder	die Lehrer  die die Wächter mögen  sind groß	8
84	obj_rel_across_anim	84	42	unexpected	placeholder	die Lehrer  die die Wächter mögen  ist groß	8
85	obj_rel_across_anim	85	43	expected	placeholder	die Kunden  die die Wächter mögen  schwimmen	7
86	obj_rel_across_anim	86	43	unexpected	placeholder	die Kunden  die die Wächter mögen  schwimmt	7
87	obj_rel_across_anim	87	44	expected	placeholder	die Kunden  die die Wächter mögen  lachen	7
88	obj_rel_across_anim	88	44	unexpected	placeholder	die Kunden  die die Wächter mögen  lacht	7
89	obj_rel_across_anim	89	45	expected	placeholder	die Kunden  die die Wächter mögen  sprechen	7
90	obj_rel_across_anim	90	45	unexpected	placeholder	die Kunden  die die Wächter mögen  spricht	7
91	obj_rel_across_anim	91	46	expected	placeholder	die Kunden  die die Wächter mögen  sind alt	8
92	obj_rel_across_anim	92	46	unexpected	placeholder	die Kunden  die die Wächter mögen  ist alt	8
93	obj_rel_across_anim	93	47	expected	placeholder	die Kunden  die die Wächter mögen  sind klein	8
94	obj_rel_across_anim	94	47	unexpected	placeholder	die Kunden  die die Wächter mögen  ist klein	8
95	obj_rel_across_anim	95	48	expected	placeholder	die Kunden  die die Wächter mögen  sind jung	8
96	obj_rel_across_anim	96	48	unexpected	placeholder	die Kunden  die die Wächter mögen  ist jung	8
97	obj_rel_across_anim	97	49	expected	placeholder	die Kunden  die die Wächter mögen  sind groß	8
98	obj_rel_across_anim	98	49	unexpected	placeholder	die Kunden  die die Wächter mögen  ist groß	8
99	obj_rel_across_anim	99	50	expected	placeholder	die Polizisten  die die Wächter mögen  schwimmen	7
100	obj_rel_across_anim	100	50	unexpected	placeholder	die Polizisten  die die Wächter mögen  schwimmt	7
101	obj_rel_across_anim	101	51	expected	placeholder	die Polizisten  die die Wächter mögen  lachen	7
102	obj_rel_across_anim	102	51	unexpected	placeholder	die Polizisten  die die Wächter mögen  lacht	7
103	obj_rel_across_anim	103	52	expected	placeholder	die Polizisten  die die Wächter mögen  sprechen	7
104	obj_rel_across_anim	104	52	unexpected	placeholder	die Polizisten  die die Wächter mögen  spricht	7
105	obj_rel_across_anim	105	53	expected	placeholder	die Polizisten  die die Wächter mögen  sind alt	8
106	obj_rel_across_anim	106	53	unexpected	placeholder	die Polizisten  die die Wächter mögen  ist alt	8
107	obj_rel_across_anim	107	54	expected	placeholder	die Polizisten  die die Wächter mögen  sind klein	8
108	obj_rel_across_anim	108	54	unexpected	placeholder	die Polizisten  die die Wächter mögen  ist klein	8
109	obj_rel_across_anim	109	55	expected	placeholder	die Polizisten  die die Wächter mögen  sind jung	8
110	obj_rel_across_anim	110	55	unexpected	placeholder	die Polizisten  die die Wächter mögen  ist jung	8
111	obj_rel_across_anim	111	56	expected	placeholder	die Polizisten  die die Wächter mögen  sind groß	8
112	obj_rel_across_anim	112	56	unexpected	placeholder	die Polizisten  die die Wächter mögen  ist groß	8
113	obj_rel_across_anim	113	57	expected	placeholder	die Piloten  die die Wächter mögen  schwimmen	7
114	obj_rel_across_anim	114	57	unexpected	placeholder	die Piloten  die die Wächter mögen  schwimmt	7
115	obj_rel_across_anim	115	58	expected	placeholder	die Piloten  die die Wächter mögen  lachen	7
116	obj_rel_across_anim	116	58	unexpected	placeholder	die Piloten  die die Wächter mögen  lacht	7
117	obj_rel_across_anim	117	59	expected	placeholder	die Piloten  die die Wächter mögen  sprechen	7
118	obj_rel_across_anim	118	59	unexpected	placeholder	die Piloten  die die Wächter mögen  spricht	7
119	obj_rel_across_anim	119	60	expected	placeholder	die Piloten  die die Wächter mögen  sind alt	8
120	obj_rel_across_anim	120	60	unexpected	placeholder	die Piloten  die die Wächter mögen  ist alt	8
121	obj_rel_across_anim	121	61	expected	placeholder	die Piloten  die die Wächter mögen  sind klein	8
122	obj_rel_across_anim	122	61	unexpected	placeholder	die Piloten  die die Wächter mögen  ist klein	8
123	obj_rel_across_anim	123	62	expected	placeholder	die Piloten  die die Wächter mögen  sind jung	8
124	obj_rel_across_anim	124	62	unexpected	placeholder	die Piloten  die die Wächter mögen  ist jung	8
125	obj_rel_across_anim	125	63	expected	placeholder	die Piloten  die die Wächter mögen  sind groß	8
126	obj_rel_across_anim	126	63	unexpected	placeholder	die Piloten  die die Wächter mögen  ist groß	8
127	obj_rel_across_anim	127	64	expected	placeholder	die Berater  die die Wächter mögen  schwimmen	7
128	obj_rel_across_anim	128	64	unexpected	placeholder	die Berater  die die Wächter mögen  schwimmt	7
129	obj_rel_across_anim	129	65	expected	placeholder	die Berater  die die Wächter mögen  lachen	7
130	obj_rel_across_anim	130	65	unexpected	placeholder	die Berater  die die Wächter mögen  lacht	7
131	obj_rel_across_anim	131	66	expected	placeholder	die Berater  die die Wächter mögen  sprechen	7
132	obj_rel_across_anim	132	66	unexpected	placeholder	die Berater  die die Wächter mögen  spricht	7
