sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
153	obj_rel_across_anim	153	77	expected	placeholder	die Schriftsteller  die die Minister mögen  sind groß	6
154	obj_rel_across_anim	154	77	unexpected	placeholder	die Schriftsteller  die die Minister mögen  ist groß	6
1571	obj_rel_across_anim	1571	786	expected	placeholder	die Bauern  die die Minister vermeiden  lachen	6
1572	obj_rel_across_anim	1572	786	unexpected	placeholder	die Bauern  die die Minister vermeiden  lacht	6
2299	obj_rel_across_anim	2299	1150	expected	placeholder	die Senatoren  die die Architekten vermeiden  lachen	6
2300	obj_rel_across_anim	2300	1150	unexpected	placeholder	die Senatoren  die die Architekten vermeiden  lacht	6
4101	obj_rel_across_anim	4101	2051	expected	placeholder	die Bauern  die die Kellner verehren  sind groß	6
4102	obj_rel_across_anim	4102	2051	unexpected	placeholder	die Bauern  die die Kellner verehren  ist groß	6
4235	obj_rel_across_anim	4235	2118	expected	placeholder	die Bauern  die die Wächter hassen  sind alt	6
4236	obj_rel_across_anim	4236	2118	unexpected	placeholder	die Bauern  die die Wächter hassen  ist alt	6
4473	obj_rel_across_anim	4473	2237	expected	placeholder	die Berater  die die Minister hassen  sind alt	6
4474	obj_rel_across_anim	4474	2237	unexpected	placeholder	die Berater  die die Minister hassen  ist alt	6
4939	obj_rel_across_anim	4939	2470	expected	placeholder	die Bauern  die die Tänzer hassen  sind jung	6
4940	obj_rel_across_anim	4940	2470	unexpected	placeholder	die Bauern  die die Tänzer hassen  ist jung	6
5745	obj_rel_across_anim	5745	2873	expected	placeholder	die Schriftsteller  die der Minister mag  sprechen	6
5746	obj_rel_across_anim	5746	2873	unexpected	placeholder	die Schriftsteller  die der Minister mag  spricht	6
5865	obj_rel_across_anim	5865	2933	expected	placeholder	die Piloten  die der Minister mag  sind groß	6
5866	obj_rel_across_anim	5866	2933	unexpected	placeholder	die Piloten  die der Minister mag  ist groß	6
6587	obj_rel_across_anim	6587	3294	expected	placeholder	die Schriftsteller  die der Koch mag  sind alt	6
6588	obj_rel_across_anim	6588	3294	unexpected	placeholder	die Schriftsteller  die der Koch mag  ist alt	6
7415	obj_rel_across_anim	7415	3708	expected	placeholder	die Berater  die der Leiter vermeidet  sind klein	6
7416	obj_rel_across_anim	7416	3708	unexpected	placeholder	die Berater  die der Leiter vermeidet  ist klein	6
7637	obj_rel_across_anim	7637	3819	expected	placeholder	die Lehrer  die der Taxifahrer vermeidet  sind alt	6
7638	obj_rel_across_anim	7638	3819	unexpected	placeholder	die Lehrer  die der Taxifahrer vermeidet  ist alt	6
8265	obj_rel_across_anim	8265	4133	expected	placeholder	die Schriftsteller  die der Kellner vermeidet  sprechen	6
8266	obj_rel_across_anim	8266	4133	unexpected	placeholder	die Schriftsteller  die der Kellner vermeidet  spricht	6
10769	obj_rel_across_anim	10769	5385	expected	placeholder	die Berater  die der Architekt hasst  lachen	6
10770	obj_rel_across_anim	10770	5385	unexpected	placeholder	die Berater  die der Architekt hasst  lacht	6
12073	obj_rel_across_anim	12073	6037	expected	placeholder	der Bauer  den die Architekten mögen  spricht	6
12074	obj_rel_across_anim	12074	6037	unexpected	placeholder	der Bauer  den die Architekten mögen  sprechen	6
12187	obj_rel_across_anim	12187	6094	expected	placeholder	der Schriftsteller  den die Köche mögen  ist alt	6
12188	obj_rel_across_anim	12188	6094	unexpected	placeholder	der Schriftsteller  den die Köche mögen  sind alt	6
12815	obj_rel_across_anim	12815	6408	expected	placeholder	der Lehrer  den die Minister vermeiden  spricht	6
12816	obj_rel_across_anim	12816	6408	unexpected	placeholder	der Lehrer  den die Minister vermeiden  sprechen	6
12897	obj_rel_across_anim	12897	6449	expected	placeholder	der Direktor  den die Leiter vermeiden  lacht	6
12898	obj_rel_across_anim	12898	6449	unexpected	placeholder	der Direktor  den die Leiter vermeiden  lachen	6
12965	obj_rel_across_anim	12965	6483	expected	placeholder	der Kunde  den die Leiter vermeiden  schwimmt	6
12966	obj_rel_across_anim	12966	6483	unexpected	placeholder	der Kunde  den die Leiter vermeiden  schwimmen	6
13453	obj_rel_across_anim	13453	6727	expected	placeholder	der Schriftsteller  den die Architekten vermeiden  ist groß	6
13454	obj_rel_across_anim	13454	6727	unexpected	placeholder	der Schriftsteller  den die Architekten vermeiden  sind groß	6
14049	obj_rel_across_anim	14049	7025	expected	placeholder	der Chirurg  den die Wächter verehren  ist alt	6
14050	obj_rel_across_anim	14050	7025	unexpected	placeholder	der Chirurg  den die Wächter verehren  sind alt	6
14935	obj_rel_across_anim	14935	7468	expected	placeholder	der Kunde  den die Architekten verehren  ist jung	6
14936	obj_rel_across_anim	14936	7468	unexpected	placeholder	der Kunde  den die Architekten verehren  sind jung	6
17433	obj_rel_across_anim	17433	8717	expected	placeholder	der Lehrer  den der Taxifahrer mag  lacht	6
17434	obj_rel_across_anim	17434	8717	unexpected	placeholder	der Lehrer  den der Taxifahrer mag  lachen	6
18203	obj_rel_across_anim	18203	9102	expected	placeholder	der Schriftsteller  den der Wächter vermeidet  lacht	6
18204	obj_rel_across_anim	18204	9102	unexpected	placeholder	der Schriftsteller  den der Wächter vermeidet  lachen	6
18867	obj_rel_across_anim	18867	9434	expected	placeholder	der Polizist  den der Taxifahrer vermeidet  ist klein	6
18868	obj_rel_across_anim	18868	9434	unexpected	placeholder	der Polizist  den der Taxifahrer vermeidet  sind klein	6
19031	obj_rel_across_anim	19031	9516	expected	placeholder	der Berater  den der Tänzer vermeidet  spricht	6
19032	obj_rel_across_anim	19032	9516	unexpected	placeholder	der Berater  den der Tänzer vermeidet  sprechen	6
20959	obj_rel_across_anim	20959	10480	expected	placeholder	der Polizist  den der Kellner verehrt  schwimmt	6
20960	obj_rel_across_anim	20960	10480	unexpected	placeholder	der Polizist  den der Kellner verehrt  schwimmen	6
21011	obj_rel_across_anim	21011	10506	expected	placeholder	der Schriftsteller  den der Wächter hasst  ist jung	6
21012	obj_rel_across_anim	21012	10506	unexpected	placeholder	der Schriftsteller  den der Wächter hasst  sind jung	6
21347	obj_rel_across_anim	21347	10674	expected	placeholder	der Senator  den der Leiter hasst  ist jung	6
21348	obj_rel_across_anim	21348	10674	unexpected	placeholder	der Senator  den der Leiter hasst  sind jung	6
21475	obj_rel_across_anim	21475	10738	expected	placeholder	der Chirurg  den der Mitarbeiter hasst  ist groß	6
21476	obj_rel_across_anim	21476	10738	unexpected	placeholder	der Chirurg  den der Mitarbeiter hasst  sind groß	6
21621	obj_rel_across_anim	21621	10811	expected	placeholder	der Senator  den der Taxifahrer hasst  spricht	6
21622	obj_rel_across_anim	21622	10811	unexpected	placeholder	der Senator  den der Taxifahrer hasst  sprechen	6
23803	prep_anim	23803	11902	expected	placeholder	die Schriftsteller vor den Leitern sind jung	5
23804	prep_anim	23804	11902	unexpected	placeholder	die Schriftsteller vor den Leitern ist jung	5
25223	prep_anim	25223	12612	expected	placeholder	die Direktoren vor den Taxifahrer schwimmen	5
25224	prep_anim	25224	12612	unexpected	placeholder	die Direktoren vor den Taxifahrer schwimmt	5
25965	prep_anim	25965	12983	expected	placeholder	die Senatoren vor den Tänzern schwimmen	5
25966	prep_anim	25966	12983	unexpected	placeholder	die Senatoren vor den Tänzern schwimmt	5
26929	prep_anim	26929	13465	expected	placeholder	die Chirurgen neben den Architekten sind groß	5
26930	prep_anim	26930	13465	unexpected	placeholder	die Chirurgen neben den Architekten ist groß	5
28303	prep_anim	28303	14152	expected	placeholder	die Direktoren neben den Vätern schwimmen	5
28304	prep_anim	28304	14152	unexpected	placeholder	die Direktoren neben den Vätern schwimmt	5
29037	prep_anim	29037	14519	expected	placeholder	die Senatoren neben dem Wächter sind alt	5
29038	prep_anim	29038	14519	unexpected	placeholder	die Senatoren neben dem Wächter ist alt	5
29443	prep_anim	29443	14722	expected	placeholder	die Chirurgen vor dem Minister sind alt	5
29444	prep_anim	29444	14722	unexpected	placeholder	die Chirurgen vor dem Minister ist alt	5
29581	prep_anim	29581	14791	expected	placeholder	die Bauern nach dem Minister lachen	5
29582	prep_anim	29582	14791	unexpected	placeholder	die Bauern nach dem Minister lacht	5
30349	prep_anim	30349	15175	expected	placeholder	die Polizisten nach dem Leiter sprechen	5
30350	prep_anim	30350	15175	unexpected	placeholder	die Polizisten nach dem Leiter spricht	5
31381	prep_anim	31381	15691	expected	placeholder	die Direktoren gegenüber vom Mitarbeiter sind groß	5
31382	prep_anim	31382	15691	unexpected	placeholder	die Direktoren gegenüber vom Mitarbeiter ist groß	5
31805	prep_anim	31805	15903	expected	placeholder	die Direktoren neben dem Taxifahrer sprechen	5
31806	prep_anim	31806	15903	unexpected	placeholder	die Direktoren neben dem Taxifahrer spricht	5
32157	prep_anim	32157	16079	expected	placeholder	die Kunden gegenüber vom Taxifahrer lachen	5
32158	prep_anim	32158	16079	unexpected	placeholder	die Kunden gegenüber vom Taxifahrer lacht	5
32803	prep_anim	32803	16402	expected	placeholder	die Chirurgen gegenüber vom Tänzer sind alt	5
32804	prep_anim	32804	16402	unexpected	placeholder	die Chirurgen gegenüber vom Tänzer ist alt	5
32817	prep_anim	32817	16409	expected	placeholder	die Senatoren gegenüber vom Tänzer sind alt	5
32818	prep_anim	32818	16409	unexpected	placeholder	die Senatoren gegenüber vom Tänzer ist alt	5
33025	prep_anim	33025	16513	expected	placeholder	die Piloten vor dem Architekt lachen	5
33026	prep_anim	33026	16513	unexpected	placeholder	die Piloten vor dem Architekt lacht	5
35415	prep_anim	35415	17708	expected	placeholder	der Berater neben den Wächter schwimmt	5
35416	prep_anim	35416	17708	unexpected	placeholder	der Berater neben den Wächter schwimmen	5
36439	prep_anim	36439	18220	expected	placeholder	der Bauer vor den Leitern spricht	5
36440	prep_anim	36440	18220	unexpected	placeholder	der Bauer vor den Leitern sprechen	5
37163	prep_anim	37163	18582	expected	placeholder	der Senator vor den Mitarbeitern ist groß	5
37164	prep_anim	37164	18582	unexpected	placeholder	der Senator vor den Mitarbeitern sind groß	5
37813	prep_anim	37813	18907	expected	placeholder	der Schriftsteller vor den Taxifahrer lacht	5
37814	prep_anim	37814	18907	unexpected	placeholder	der Schriftsteller vor den Taxifahrer lachen	5
38751	prep_anim	38751	19376	expected	placeholder	der Polizist nach den Tänzern lacht	5
38752	prep_anim	38752	19376	unexpected	placeholder	der Polizist nach den Tänzern lachen	5
39929	prep_anim	39929	19965	expected	placeholder	der Bauer vor den Köche ist alt	5
