sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
1	obj_rel_across_anim	1	1	expected	placeholder	авторы  которых агенты любят  говорят	4
2	obj_rel_across_anim	2	1	unexpected	placeholder	авторы  которых агенты любят  говорит	4
3	obj_rel_across_anim	3	2	expected	placeholder	авторы  которых агенты любят  ждали	4
4	obj_rel_across_anim	4	2	unexpected	placeholder	авторы  которых агенты любят  ждал	4
5	obj_rel_across_anim	5	3	expected	placeholder	авторы  которых агенты любят  читают	4
6	obj_rel_across_anim	6	3	unexpected	placeholder	авторы  которых агенты любят  читает	4
7	obj_rel_across_anim	7	4	expected	placeholder	авторы  которых агенты любят  старые	4
8	obj_rel_across_anim	8	4	unexpected	placeholder	авторы  которых агенты любят  старый	4
9	obj_rel_across_anim	9	5	expected	placeholder	авторы  которых агенты любят  маленькие	4
10	obj_rel_across_anim	10	5	unexpected	placeholder	авторы  которых агенты любят  маленький	4
11	obj_rel_across_anim	11	6	expected	placeholder	авторы  которых агенты любят  молодые	4
12	obj_rel_across_anim	12	6	unexpected	placeholder	авторы  которых агенты любят  молодой	4
13	obj_rel_across_anim	13	7	expected	placeholder	авторы  которых агенты любят  большие	4
14	obj_rel_across_anim	14	7	unexpected	placeholder	авторы  которых агенты любят  большой	4
15	obj_rel_across_anim	15	8	expected	placeholder	режиссёры  которых агенты любят  говорят	4
16	obj_rel_across_anim	16	8	unexpected	placeholder	режиссёры  которых агенты любят  говорит	4
17	obj_rel_across_anim	17	9	expected	placeholder	режиссёры  которых агенты любят  ждали	4
18	obj_rel_across_anim	18	9	unexpected	placeholder	режиссёры  которых агенты любят  ждал	4
19	obj_rel_across_anim	19	10	expected	placeholder	режиссёры  которых агенты любят  читают	4
20	obj_rel_across_anim	20	10	unexpected	placeholder	режиссёры  которых агенты любят  читает	4
21	obj_rel_across_anim	21	11	expected	placeholder	режиссёры  которых агенты любят  старые	4
22	obj_rel_across_anim	22	11	unexpected	placeholder	режиссёры  которых агенты любят  старый	4
23	obj_rel_across_anim	23	12	expected	placeholder	режиссёры  которых агенты любят  маленькие	4
24	obj_rel_across_anim	24	12	unexpected	placeholder	режиссёры  которых агенты любят  маленький	4
25	obj_rel_across_anim	25	13	expected	placeholder	режиссёры  которых агенты любят  молодые	4
26	obj_rel_across_anim	26	13	unexpected	placeholder	режиссёры  которых агенты любят  молодой	4
27	obj_rel_across_anim	27	14	expected	placeholder	режиссёры  которых агенты любят  большие	4
28	obj_rel_across_anim	28	14	unexpected	placeholder	режиссёры  которых агенты любят  большой	4
29	obj_rel_across_anim	29	15	expected	placeholder	фермеры  которых агенты любят  говорят	4
30	obj_rel_across_anim	30	15	unexpected	placeholder	фермеры  которых агенты любят  говорит	4
31	obj_rel_across_anim	31	16	expected	placeholder	фермеры  которых агенты любят  ждали	4
32	obj_rel_across_anim	32	16	unexpected	placeholder	фермеры  которых агенты любят  ждал	4
33	obj_rel_across_anim	33	17	expected	placeholder	фермеры  которых агенты любят  читают	4
34	obj_rel_across_anim	34	17	unexpected	placeholder	фермеры  которых агенты любят  читает	4
35	obj_rel_across_anim	35	18	expected	placeholder	фермеры  которых агенты любят  старые	4
36	obj_rel_across_anim	36	18	unexpected	placeholder	фермеры  которых агенты любят  старый	4
37	obj_rel_across_anim	37	19	expected	placeholder	фермеры  которых агенты любят  маленькие	4
38	obj_rel_across_anim	38	19	unexpected	placeholder	фермеры  которых агенты любят  маленький	4
39	obj_rel_across_anim	39	20	expected	placeholder	фермеры  которых агенты любят  молодые	4
40	obj_rel_across_anim	40	20	unexpected	placeholder	фермеры  которых агенты любят  молодой	4
41	obj_rel_across_anim	41	21	expected	placeholder	фермеры  которых агенты любят  большие	4
42	obj_rel_across_anim	42	21	unexpected	placeholder	фермеры  которых агенты любят  большой	4
43	obj_rel_across_anim	43	22	expected	placeholder	врачи  которых агенты любят  говорят	4
44	obj_rel_across_anim	44	22	unexpected	placeholder	врачи  которых агенты любят  говорит	4
45	obj_rel_across_anim	45	23	expected	placeholder	врачи  которых агенты любят  ждали	4
46	obj_rel_across_anim	46	23	unexpected	placeholder	врачи  которых агенты любят  ждал	4
47	obj_rel_across_anim	47	24	expected	placeholder	врачи  которых агенты любят  читают	4
48	obj_rel_across_anim	48	24	unexpected	placeholder	врачи  которых агенты любят  читает	4
49	obj_rel_across_anim	49	25	expected	placeholder	врачи  которых агенты любят  старые	4
50	obj_rel_across_anim	50	25	unexpected	placeholder	врачи  которых агенты любят  старый	4
51	obj_rel_across_anim	51	26	expected	placeholder	врачи  которых агенты любят  маленькие	4
52	obj_rel_across_anim	52	26	unexpected	placeholder	врачи  которых агенты любят  маленький	4
53	obj_rel_across_anim	53	27	expected	placeholder	врачи  которых агенты любят  молодые	4
54	obj_rel_across_anim	54	27	unexpected	placeholder	врачи  которых агенты любят  молодой	4
55	obj_rel_across_anim	55	28	expected	placeholder	врачи  которых агенты любят  большие	4
56	obj_rel_across_anim	56	28	unexpected	placeholder	врачи  которых агенты любят  большой	4
57	obj_rel_across_anim	57	29	expected	placeholder	сенаторы  которых агенты любят  говорят	4
58	obj_rel_across_anim	58	29	unexpected	placeholder	сенаторы  которых агенты любят  говорит	4
59	obj_rel_across_anim	59	30	expected	placeholder	сенаторы  которых агенты любят  ждали	4
